"decada","nome","sexo","total_registros"
"1950","James","M","843262"
"1950","Michael","M","836991"
"1950","Robert","M","829909"
"1960","Michael","M","833387"
"1960","David","M","734183"
"1960","John","M","713618"
"1970","Michael","M","707719"
"1970","Jennifer","F","581767"
"1970","Christopher","M","475676"
"1980","Michael","M","663522"
"1980","Christopher","M","554764"
"1980","Jessica","F","469426"
"1990","Michael","M","462278"
"1990","Christopher","M","360176"
"1990","Matthew","M","351580"
"2000","Jacob","M","273642"
"2000","Michael","M","250370"
"2000","Joshua","M","231771"
"2010","Sophia","F","104332"
"2010","Emma","F","98676"
"2010","Isabella","F","96334"
